patient_id,frame_index,image_path,mask_path,labeled,timestamp,risk,boundary_entropy,neighbour_iou,area_ratio
us_imu_20260909_181041,101,images/us_imu_20260909_181041_00101.png,masks/us_imu_20260909_181041_00101.png,0,10.1,4.37,0.391,0.740,0.0140
us_imu_20260909_181041,145,images/us_imu_20260909_181041_00145.png,masks/us_imu_20260909_181041_00145.png,0,14.5,9.86,0.408,0.363,0.0211
us_imu_20260909_181041,413,images/us_imu_20260909_181041_00413.png,masks/us_imu_20260909_181041_00413.png,0,41.3,4.34,0.471,0.846,0.0101
us_imu_20260909_181041,594,images/us_imu_20260909_181041_00594.png,masks/us_imu_20260909_181041_00594.png,0,59.4,1.65,0.397,0.947,0.0510
us_imu_20260909_181041,917,images/us_imu_20260909_181041_00917.png,masks/us_imu_20260909_181041_00917.png,0,91.7,1.58,0.384,0.935,0.0404
us_imu_20260909_181310,81,images/us_imu_20260909_181310_00081.png,masks/us_imu_20260909_181310_00081.png,0,8.1,1.09,0.377,0.961,0.0698
us_imu_20260909_181310,446,images/us_imu_20260909_181310_00446.png,masks/us_imu_20260909_181310_00446.png,0,44.6,5.89,0.398,0.638,0.0448
us_imu_20260909_181310,487,images/us_imu_20260909_181310_00487.png,masks/us_imu_20260909_181310_00487.png,0,48.7,1.14,0.365,0.942,0.0515
us_imu_20260909_181310,533,images/us_imu_20260909_181310_00533.png,masks/us_imu_20260909_181310_00533.png,0,53.3,14.80,0.534,0.166,0.0030
us_imu_20260909_181310,886,images/us_imu_20260909_181310_00886.png,masks/us_imu_20260909_181310_00886.png,0,88.6,2.00,0.330,0.834,0.0378
us_imu_20260909_181532,103,images/us_imu_20260909_181532_00103.png,masks/us_imu_20260909_181532_00103.png,0,10.3,4.48,0.492,0.863,0.0269
us_imu_20260909_181532,144,images/us_imu_20260909_181532_00144.png,masks/us_imu_20260909_181532_00144.png,0,14.4,17.31,0.548,0.000,0.0055
us_imu_20260909_181532,672,images/us_imu_20260909_181532_00672.png,masks/us_imu_20260909_181532_00672.png,0,67.2,3.04,0.397,0.846,0.0617
us_imu_20260909_181532,792,images/us_imu_20260909_181532_00792.png,masks/us_imu_20260909_181532_00792.png,0,79.2,2.50,0.418,0.913,0.0518
us_imu_20260909_181532,844,images/us_imu_20260909_181532_00844.png,masks/us_imu_20260909_181532_00844.png,0,84.4,6.48,0.451,0.664,0.0551
us_imu_20260909_181722,358,images/us_imu_20260909_181722_00358.png,masks/us_imu_20260909_181722_00358.png,0,35.8,9.36,0.505,0.524,0.0219
us_imu_20260909_181722,412,images/us_imu_20260909_181722_00412.png,masks/us_imu_20260909_181722_00412.png,0,41.2,7.20,0.367,0.502,0.0204
us_imu_20260909_181722,486,images/us_imu_20260909_181722_00486.png,masks/us_imu_20260909_181722_00486.png,0,48.6,3.92,0.398,0.782,0.0545
us_imu_20260909_181722,555,images/us_imu_20260909_181722_00555.png,masks/us_imu_20260909_181722_00555.png,0,55.5,3.74,0.332,0.710,0.0588
us_imu_20260909_181722,611,images/us_imu_20260909_181722_00611.png,masks/us_imu_20260909_181722_00611.png,0,61.1,4.23,0.366,0.718,0.0637
us_imu_20260909_182055,43,images/us_imu_20260909_182055_00043.png,masks/us_imu_20260909_182055_00043.png,0,4.3,18.58,0.619,0.000,0.0055
us_imu_20260909_182055,254,images/us_imu_20260909_182055_00254.png,masks/us_imu_20260909_182055_00254.png,0,25.4,15.07,0.422,0.000,0.0222
us_imu_20260909_182055,305,images/us_imu_20260909_182055_00305.png,masks/us_imu_20260909_182055_00305.png,0,30.5,3.13,0.410,0.856,0.0288
us_imu_20260909_182055,410,images/us_imu_20260909_182055_00410.png,masks/us_imu_20260909_182055_00410.png,0,41.0,3.76,0.367,0.754,0.0569
us_imu_20260909_182055,952,images/us_imu_20260909_182055_00952.png,masks/us_imu_20260909_182055_00952.png,0,95.4,3.06,0.451,0.914,0.0524
us_imu_20260909_182305,14,images/us_imu_20260909_182305_00014.png,masks/us_imu_20260909_182305_00014.png,0,1.4,7.78,0.400,0.503,0.0187
us_imu_20260909_182305,58,images/us_imu_20260909_182305_00058.png,masks/us_imu_20260909_182305_00058.png,0,5.8,2.42,0.421,0.922,0.0697
us_imu_20260909_182305,98,images/us_imu_20260909_182305_00098.png,masks/us_imu_20260909_182305_00098.png,0,9.8,1.44,0.318,0.860,0.0581
us_imu_20260909_182305,145,images/us_imu_20260909_182305_00145.png,masks/us_imu_20260909_182305_00145.png,0,14.5,-0.12,0.294,0.941,0.0549
us_imu_20260909_182305,412,images/us_imu_20260909_182305_00412.png,masks/us_imu_20260909_182305_00412.png,0,41.2,8.02,0.318,0.379,0.0668
