patient_id,frame_index,image_path,mask_path,labeled,timestamp,contact_ratio,area_ratio
us_imu_20260909_160656,191,images/us_imu_20260909_160656_00191.png,masks/us_imu_20260909_160656_00191.png,0,19.100,0.481,0.0000
us_imu_20260909_160858,159,images/us_imu_20260909_160858_00159.png,masks/us_imu_20260909_160858_00159.png,0,15.899,0.756,0.0392
us_imu_20260909_160858,203,images/us_imu_20260909_160858_00203.png,masks/us_imu_20260909_160858_00203.png,0,20.293,0.838,0.0370
us_imu_20260909_160858,923,images/us_imu_20260909_160858_00923.png,masks/us_imu_20260909_160858_00923.png,0,97.728,0.787,0.0258
us_imu_20260909_161109,447,images/us_imu_20260909_161109_00447.png,masks/us_imu_20260909_161109_00447.png,0,44.706,0.613,0.0163
us_imu_20260909_161317,84,images/us_imu_20260909_161317_00084.png,masks/us_imu_20260909_161317_00084.png,0,8.411,0.419,0.0000
us_imu_20260909_161540,76,images/us_imu_20260909_161540_00076.png,masks/us_imu_20260909_161540_00076.png,0,7.609,0.700,0.0408
us_imu_20260909_163123,0,images/us_imu_20260909_163123_00000.png,masks/us_imu_20260909_163123_00000.png,0,0.000,0.375,0.0000
us_imu_20260909_163323,50,images/us_imu_20260909_163323_00050.png,masks/us_imu_20260909_163323_00050.png,0,5.053,0.738,0.0378
us_imu_20260909_163511,818,images/us_imu_20260909_163511_00818.png,masks/us_imu_20260909_163511_00818.png,0,81.786,0.744,0.0241
us_imu_20260909_164324,21,images/us_imu_20260909_164324_00021.png,masks/us_imu_20260909_164324_00021.png,0,2.094,0.425,0.0245
us_imu_20260909_164324,57,images/us_imu_20260909_164324_00057.png,masks/us_imu_20260909_164324_00057.png,0,5.694,0.463,0.0278
us_imu_20260909_164526,37,images/us_imu_20260909_164526_00037.png,masks/us_imu_20260909_164526_00037.png,0,3.703,0.800,0.0392
us_imu_20260909_164526,407,images/us_imu_20260909_164526_00407.png,masks/us_imu_20260909_164526_00407.png,0,40.680,0.838,0.0322
us_imu_20260909_164526,837,images/us_imu_20260909_164526_00837.png,masks/us_imu_20260909_164526_00837.png,0,83.683,0.825,0.0240
us_imu_20260909_164740,46,images/us_imu_20260909_164740_00046.png,masks/us_imu_20260909_164740_00046.png,0,4.600,0.394,0.0000
us_imu_20260909_164936,229,images/us_imu_20260909_164936_00229.png,masks/us_imu_20260909_164936_00229.png,0,22.895,0.606,0.0228
us_imu_20260909_165248,93,images/us_imu_20260909_165248_00093.png,masks/us_imu_20260909_165248_00093.png,0,9.289,0.731,0.0402
us_imu_20260909_165248,690,images/us_imu_20260909_165248_00690.png,masks/us_imu_20260909_165248_00690.png,0,68.984,0.713,0.0353
us_imu_20260909_165434,252,images/us_imu_20260909_165434_00252.png,masks/us_imu_20260909_165434_00252.png,0,25.205,0.838,0.0323
us_imu_20260909_165434,285,images/us_imu_20260909_165434_00285.png,masks/us_imu_20260909_165434_00285.png,0,28.447,0.831,0.0339
us_imu_20260909_181041,17,images/us_imu_20260909_181041_00017.png,masks/us_imu_20260909_181041_00017.png,0,1.700,0.494,0.0217
us_imu_20260909_181041,128,images/us_imu_20260909_181041_00128.png,masks/us_imu_20260909_181041_00128.png,0,12.718,0.463,0.0000
us_imu_20260909_181310,730,images/us_imu_20260909_181310_00730.png,masks/us_imu_20260909_181310_00730.png,0,72.987,0.637,0.0236
us_imu_20260909_181532,676,images/us_imu_20260909_181532_00676.png,masks/us_imu_20260909_181532_00676.png,0,67.595,0.719,0.0343
us_imu_20260909_181722,346,images/us_imu_20260909_181722_00346.png,masks/us_imu_20260909_181722_00346.png,0,34.602,0.725,0.0139
us_imu_20260909_181722,384,images/us_imu_20260909_181722_00384.png,masks/us_imu_20260909_181722_00384.png,0,38.395,0.650,0.0107
us_imu_20260909_182055,734,images/us_imu_20260909_182055_00734.png,masks/us_imu_20260909_182055_00734.png,0,73.639,0.556,0.0133
us_imu_20260909_182055,783,images/us_imu_20260909_182055_00783.png,masks/us_imu_20260909_182055_00783.png,0,78.535,0.606,0.0158
us_imu_20260909_182055,977,images/us_imu_20260909_182055_00977.png,masks/us_imu_20260909_182055_00977.png,0,97.934,0.606,0.0394
us_imu_20260909_182305,11,images/us_imu_20260909_182305_00011.png,masks/us_imu_20260909_182305_00011.png,0,1.100,0.525,0.0093
us_imu_20260909_182305,57,images/us_imu_20260909_182305_00057.png,masks/us_imu_20260909_182305_00057.png,0,5.696,0.581,0.0293
