patient_id,split,n_sampled,edge_ratio,bright_frac,inside_mean,sector_median,area_px
P000,test,15,1.091,0.963,116.4,43.0,2938
P001,test,15,1.102,0.377,38.4,43.0,12166
P002,train,15,0.993,0.19,39.9,66.0,28853
P003,train,15,0.967,0.571,53.3,32.0,13994
P004,train,15,1.367,0.104,23.6,57.0,40135
P005,train,15,1.131,0.085,27.4,61.0,39820
P006,train,15,1.002,0.627,55.6,33.0,11139
P007,train,15,1.006,0.39,40.5,36.0,12576
P008,train,15,1.035,0.967,105.2,35.0,10275
P009,train,15,0.953,0.821,85.5,35.0,16378
P010,val,15,1.021,0.861,85.8,39.0,13050
P011,test,15,1.046,0.46,40.9,32.0,9086
P012,test,15,1.033,0.53,46.3,36.0,12865
P013,train,15,1.12,0.854,83.3,39.0,14601
P014,val,15,0.974,0.834,77.2,37.0,17531
P015,train,15,1.004,0.802,79.5,44.0,12683
P016,train,15,0.968,0.448,52.8,39.0,13952
P017,train,15,0.999,0.689,63.8,31.0,9934
P018,train,15,1.217,0.178,23.4,35.0,28694
P019,test,15,1.056,0.852,88.7,42.0,14531
P020,test,15,0.927,0.265,46.5,58.0,21375
P021,test,15,0.931,0.049,20.5,37.0,20816
P022,val,15,0.987,0.829,81.6,39.0,18034
P023,train,15,1.438,0.026,17.1,46.0,60226
P024,train,15,1.438,0.026,17.1,46.0,60226
P025,val,15,1.027,0.638,82.3,65.0,16747
P026,train,15,0.984,0.653,67.8,28.0,16686
P027,train,15,0.985,0.649,63.1,38.0,16779
P028,train,15,0.975,0.432,55.9,45.0,22673
P029,val,15,0.992,0.147,37.5,61.0,42760
P030,train,15,0.998,0.462,48.3,35.0,25946
P031,train,15,0.956,0.207,32.8,42.0,43591
P032,val,15,1.052,0.43,64.8,51.0,30583
P033,train,15,1.056,0.624,72.8,46.0,17386
P034,train,15,0.995,0.513,73.9,63.0,21224
P035,train,15,1.145,0.849,88.7,38.0,11986
P036,val,15,1.006,0.917,93.8,49.0,14157
P037,train,15,0.991,0.777,70.9,39.0,7845
P038,train,15,0.954,0.611,57.0,44.0,10321
P039,train,15,0.989,0.835,88.2,39.0,10708
P040,test,15,1.03,0.474,62.6,57.0,33355
P041,test,15,1.099,0.074,25.5,53.0,95748
P042,val,15,1.008,0.396,38.0,32.0,14543
P043,test,15,1.026,0.843,107.8,67.0,19230
P044,train,15,0.985,0.338,33.1,37.0,26990
P045,train,15,1.054,0.119,15.1,34.0,44529
P046,train,15,0.979,0.103,14.7,37.0,43458
P047,train,15,0.947,0.087,13.3,32.0,27037
P048,train,15,0.985,0.126,14.9,30.0,43298
P049,train,15,1.026,0.691,88.0,42.0,22916
P050,train,15,1.002,0.307,30.9,35.0,44541
P051,train,15,0.986,0.875,71.8,33.0,18029
P052,train,15,0.988,0.625,64.8,44.0,13258
P053,train,15,0.966,0.889,93.7,29.0,11911
P054,train,15,1.098,0.137,26.3,29.0,79531
P055,train,15,0.972,0.814,97.1,31.0,13552
P056,train,15,1.043,0.154,23.3,30.0,78110
P057,train,15,1.049,0.377,41.3,43.0,32633
P058,train,15,1.015,0.335,46.6,44.0,32134
P059,train,15,0.863,0.353,55.5,63.0,30566
P060,train,15,0.983,0.951,78.5,36.0,18187
P061,train,15,0.945,0.38,40.1,43.0,21295
P062,train,15,0.987,0.585,77.1,65.0,25162
P063,val,15,1.023,0.154,25.1,42.0,32850
P064,train,15,1.027,0.221,27.4,29.0,46250
P065,train,15,1.0,0.278,29.4,36.0,49512
P066,train,15,1.059,0.305,34.1,40.0,18189
P067,train,15,1.14,0.281,42.7,51.0,47509
P068,train,15,1.047,0.562,48.8,33.0,26084
P069,train,15,0.989,0.961,84.8,37.0,23255
P070,train,15,0.996,0.449,48.1,35.0,60986
P071,val,15,1.006,0.382,46.9,51.0,44112
P072,train,15,1.014,0.811,85.1,42.0,9151
P073,train,15,1.056,0.729,68.2,36.0,12856
P074,train,15,1.025,0.462,61.9,59.0,25493
P075,train,15,0.987,0.914,86.5,23.0,8965
P076,val,15,1.001,0.392,45.1,40.0,38346
P077,train,15,0.984,0.854,80.3,37.0,10788
P078,train,15,0.966,0.327,20.6,18.0,15370
P079,train,15,1.0,0.737,79.7,53.0,11559
P080,train,15,0.979,0.664,77.6,39.0,11220
P081,train,15,0.981,0.597,59.2,39.0,10984
P082,train,15,0.962,0.338,41.1,40.0,16489
P083,val,15,1.02,0.916,103.7,38.0,10229
P084,train,15,1.003,0.822,71.8,36.0,12599
P085,test,15,1.193,0.331,64.6,67.0,32479
P086,train,15,0.985,0.559,43.1,33.0,20811
P087,train,15,1.029,0.181,32.3,51.0,39241
P088,train,15,1.095,0.248,39.9,43.0,32810
P089,test,15,0.955,0.411,43.5,39.0,22737
P090,val,15,0.96,0.19,30.9,51.0,42842
P091,train,15,0.981,0.487,59.2,47.0,34084
P092,train,15,0.938,0.178,27.3,54.0,29043
P093,train,15,1.17,0.242,31.7,43.0,38076
P094,train,15,0.981,0.238,30.9,47.0,53075
P095,test,15,1.013,0.549,60.2,44.0,19099
P096,train,15,1.036,0.405,60.5,54.0,23528
P097,test,15,1.049,0.359,50.5,50.0,45585
P098,train,15,1.033,0.438,44.8,43.0,15670
P099,train,15,1.021,0.696,83.4,54.0,14394
P100,train,15,1.089,0.12,33.1,52.0,106387
P101,val,15,1.002,0.711,75.6,32.0,11685
P102,train,15,1.015,0.411,62.3,57.0,19019
P103,train,15,0.9,0.719,72.4,28.0,4779
P104,val,15,0.949,0.827,77.4,39.0,10114
P105,train,15,0.975,0.114,21.8,54.0,30725
P106,val,15,1.302,0.142,21.0,30.0,14109
P107,train,15,0.966,0.426,40.3,35.0,20499
P108,test,15,1.017,0.703,83.2,38.0,16942
P109,test,15,1.039,0.641,56.5,37.0,16005
