split,patient_id,frame_id,shift_px,target_px,instruction_px,truth_px,quality,dice
test,P000,P000/seq0/000000,26,2,-0.19043733481127845,2.008134276462357,0.1868643452178945,0.44611059044048734
test,P000,P000/seq0/000000,24,4,0.8958265579180704,4.008134276462357,0.21462568413757058,0.4461839530332681
test,P000,P000/seq0/000000,22,6,1.3632728836293637,6.008134276462357,0.31596178221337085,0.41760491299897645
test,P000,P000/seq0/000000,20,8,2.9588853860560675,8.008134276462357,0.2960973576558189,0.4109014675052411
test,P000,P000/seq0/000000,18,10,5.5662645327070805,10.008134276462357,0.295458068919275,0.4246713852376138
test,P000,P000/seq0/000000,15,13,10.265260713243961,13.008134276462357,0.19798820317203206,0.47343895619757687
test,P000,P000/seq0/000000,12,16,13.56927933684355,16.008134276462357,0.1859008232983872,0.4664778092540132
test,P000,P000/seq0/000000,8,20,16.860694437689318,20.008134276462357,0.2194095211825439,0.4446620959843291
test,P000,P000/seq0/000000,3,25,20.49204871828755,25.008134276462357,0.3025974301482101,0.42374616171954965
test,P000,P000/seq0/000000,-4,32,29.59030526961746,32.00813427646236,0.18625470299091482,0.4660377358490566
test,P000,P000/seq0/000000,-12,40,34.95888538605607,40.00813427646236,0.2961268528004248,0.4109014675052411
test,P000,P000/seq0/000000,30,-2,-4.649629825138078,-1.991865723537643,0.20206573242730266,0.46210720887245843
test,P000,P000/seq0/000000,32,-4,-7.416841188048522,-3.991865723537643,0.19582802040815958,0.4716073147256978
test,P000,P000/seq0/000000,34,-6,-10.34845528589932,-5.991865723537643,0.2782634515033801,0.4274193548387097
test,P000,P000/seq0/000000,36,-8,-12.9888980993301,-7.991865723537643,0.2965810879897554,0.4129301355578728
test,P000,P000/seq0/000000,38,-10,-14.569606765853251,-9.991865723537643,0.3153264108867772,0.42083758937691523
test,P000,P000/seq0/000000,41,-13,-15.330242696876695,-12.991865723537643,0.19944910596565643,0.4388422035480859
test,P000,P000/seq0/000000,44,-16,-18.39452226240107,-15.991865723537643,0.18385875718954697,0.4684854186265287
test,P000,P000/seq0/000000,48,-20,-23.352497907445695,-19.991865723537643,0.1930406916751874,0.4731800766283525
test,P000,P000/seq0/000000,53,-25,-29.725881528135346,-24.991865723537643,0.30931495124751895,0.4089068825910931
test,P000,P000/seq0/000000,60,-32,-34.153407213066856,-31.991865723537643,0.17802349901981449,0.46567717996289426
test,P000,P000/seq0/000000,68,-40,-44.710256528135346,-39.99186572353764,0.2996536389554588,0.42276422764227645
test,P000,P000/seq0/000036,24,2,3.354508572535792,2.110228053362448,0.1574196979656135,0.4670558798999166
