blind_id,sample_id,patient_id,frame_id
blind_0000,S0049_P043_frame_078,P043,frame_078
blind_0001,S0063_P095_frame_072,P095,frame_072
blind_0002,S0023_P019_frame_100,P019,frame_100
blind_0003,S0050_P085_frame_000,P085,frame_000
blind_0004,S0030_P021_frame_000,P021,frame_000
blind_0005,S0055_P089_frame_007,P089,frame_007
blind_0006,S0008_P001_frame_074,P001,frame_074
blind_0007,S0046_P043_frame_005,P043,frame_005
blind_0008,S0057_P089_frame_048,P089,frame_048
blind_0009,S0039_P040_frame_086,P040,frame_086
blind_0010,S0015_P012_frame_000,P012,frame_000
blind_0011,S0072_P108_frame_060,P108,frame_060
blind_0012,S0059_P089_frame_060,P089,frame_060
blind_0013,S0038_P040_frame_076,P040,frame_076
blind_0014,S0042_P041_frame_073,P041,frame_073
blind_0015,S0062_P095_frame_051,P095,frame_051
blind_0016,S0025_P020_frame_000,P020,frame_000
blind_0017,S0056_P089_frame_028,P089,frame_028
blind_0018,S0076_P109_frame_010,P109,frame_010
blind_0019,S0001_P000_frame_074,P000,frame_074
blind_0020,S0070_P108_frame_037,P108,frame_037
blind_0021,S0053_P085_frame_036,P085,frame_036
blind_0022,S0018_P012_frame_019,P012,frame_019
blind_0023,S0067_P097_frame_029,P097,frame_029
blind_0024,S0019_P012_frame_038,P012,frame_038
blind_0025,S0020_P019_frame_080,P019,frame_080
blind_0026,S0043_P041_frame_088,P041,frame_088
blind_0027,S0047_P043_frame_038,P043,frame_038
blind_0028,S0033_P021_frame_098,P021,frame_098
blind_0029,S0061_P095_frame_041,P095,frame_041
blind_0030,S0032_P021_frame_046,P021,frame_046
blind_0031,S0007_P001_frame_049,P001,frame_049
blind_0032,S0065_P097_frame_004,P097,frame_004
blind_0033,S0002_P000_frame_105,P000,frame_105
blind_0034,S0016_P012_frame_004,P012,frame_004
blind_0035,S0036_P040_frame_040,P040,frame_040
blind_0036,S0022_P019_frame_096,P019,frame_096
blind_0037,S0040_P041_frame_000,P041,frame_000
blind_0038,S0024_P019_frame_110,P019,frame_110
blind_0039,S0005_P001_frame_038,P001,frame_038
blind_0040,S0006_P001_frame_046,P001,frame_046
blind_0041,S0060_P095_frame_000,P095,frame_000
blind_0042,S0073_P108_frame_099,P108,frame_099
blind_0043,S0009_P001_frame_107,P001,frame_107
blind_0044,S0052_P085_frame_024,P085,frame_024
blind_0045,S0021_P019_frame_084,P019,frame_084
blind_0046,S0066_P097_frame_016,P097,frame_016
blind_0047,S0058_P089_frame_057,P089,frame_057
blind_0048,S0010_P011_frame_005,P011,frame_005
blind_0049,S0048_P043_frame_065,P043,frame_065
blind_0050,S0000_P000_frame_000,P000,frame_000
blind_0051,S0051_P085_frame_005,P085,frame_005
blind_0052,S0074_P108_frame_107,P108,frame_107
blind_0053,S0037_P040_frame_050,P040,frame_050
blind_0054,S0075_P109_frame_000,P109,frame_000
blind_0055,S0079_P109_frame_140,P109,frame_140
blind_0056,S0026_P020_frame_003,P020,frame_003
blind_0057,S0034_P021_frame_117,P021,frame_117
blind_0058,S0044_P041_frame_104,P041,frame_104
blind_0059,S0041_P041_frame_062,P041,frame_062
blind_0060,S0045_P043_frame_000,P043,frame_000
blind_0061,S0012_P011_frame_151,P011,frame_151
blind_0062,S0077_P109_frame_052,P109,frame_052
blind_0063,S0068_P097_frame_051,P097,frame_051
blind_0064,S0064_P095_frame_084,P095,frame_084
blind_0065,S0029_P020_frame_086,P020,frame_086
blind_0066,S0027_P020_frame_018,P020,frame_018
blind_0067,S0071_P108_frame_039,P108,frame_039
blind_0068,S0078_P109_frame_120,P109,frame_120
blind_0069,S0004_P000_frame_130,P000,frame_130
blind_0070,S0054_P085_frame_058,P085,frame_058
blind_0071,S0011_P011_frame_070,P011,frame_070
blind_0072,S0069_P097_frame_061,P097,frame_061
blind_0073,S0013_P011_frame_179,P011,frame_179
blind_0074,S0017_P012_frame_006,P012,frame_006
blind_0075,S0028_P020_frame_019,P020,frame_019
blind_0076,S0031_P021_frame_032,P021,frame_032
blind_0077,S0035_P040_frame_000,P040,frame_000
blind_0078,S0003_P000_frame_126,P000,frame_126
blind_0079,S0014_P011_frame_183,P011,frame_183
