sample_id,image_path,mask_path,status,quality,uncertain_boundary,reviewed,area_px,area_frac,solidity,contrast,depth,confidence,dark_percentile,candidate_rank,num_candidates,notes
S0000_P000_frame_000,../annotation_audit/images/S0000_P000_frame_000.png,masks/S0000_P000_frame_000.png,drop,moderate,1,1,18983,0.0901,0.836,15.9,0.467,0.56,22.0,0,3,
S0001_P000_frame_074,../annotation_audit/images/S0001_P000_frame_074.png,masks/S0001_P000_frame_074.png,drop,moderate,1,1,13711,0.0649,0.853,6.3,0.557,0.427,22.0,0,5,
S0002_P000_frame_105,../annotation_audit/images/S0002_P000_frame_105.png,masks/S0002_P000_frame_105.png,drop,moderate,1,1,24319,0.1151,0.852,9.9,0.594,0.538,22.0,0,3,
S0003_P000_frame_126,../annotation_audit/images/S0003_P000_frame_126.png,masks/S0003_P000_frame_126.png,drop,moderate,1,1,25414,0.1202,0.853,5.6,0.622,0.489,22.0,0,3,
S0004_P000_frame_130,../annotation_audit/images/S0004_P000_frame_130.png,masks/S0004_P000_frame_130.png,keep,moderate,1,1,14922,0.0705,0.897,7.4,0.541,0.522,22.0,0,3,
S0005_P001_frame_038,../annotation_audit/images/S0005_P001_frame_038.png,masks/S0005_P001_frame_038.png,drop,moderate,1,1,56644,0.1299,0.718,18.9,0.695,0.441,22.0,0,3,
S0006_P001_frame_046,../annotation_audit/images/S0006_P001_frame_046.png,masks/S0006_P001_frame_046.png,drop,moderate,1,1,55651,0.128,0.758,19.6,0.658,0.469,22.0,0,3,
S0007_P001_frame_049,../annotation_audit/images/S0007_P001_frame_049.png,masks/S0007_P001_frame_049.png,drop,moderate,1,1,55373,0.1275,0.785,21.5,0.647,0.534,22.0,0,3,
S0008_P001_frame_074,../annotation_audit/images/S0008_P001_frame_074.png,masks/S0008_P001_frame_074.png,drop,moderate,1,1,4781,0.0111,0.889,27.5,0.403,0.602,22.0,0,3,
S0009_P001_frame_107,../annotation_audit/images/S0009_P001_frame_107.png,masks/S0009_P001_frame_107.png,drop,moderate,1,1,49490,0.1151,0.782,15.4,0.765,0.439,22.0,0,2,
