patient_id,split,num_frames
P000,test,147
P001,test,144
P002,train,97
P003,train,200
P004,train,67
P005,train,98
P006,train,132
P007,train,135
P008,train,183
P009,train,139
P010,val,176
P011,test,200
P012,test,147
P013,train,216
P014,val,229
P015,train,129
P016,train,139
P017,train,200
P018,train,90
P019,test,122
P020,test,103
P021,test,200
P022,val,216
P023,train,131
P024,train,131
P025,val,211
P026,train,101
P027,train,123
P028,train,139
P029,val,105
P030,train,168
P031,train,100
P032,val,228
P033,train,188
P034,train,158
P035,train,161
P036,val,104
P037,train,111
P038,train,174
P039,train,98
P040,test,121
P041,test,128
P042,val,90
P043,test,100
P044,train,212
P045,train,80
P046,train,46
P047,train,73
P048,train,94
P049,train,108
P050,train,89
P051,train,112
P052,train,94
P053,train,183
P054,train,171
P055,train,229
P056,train,207
P057,train,98
P058,train,217
P059,train,47
P060,train,163
P061,train,98
P062,train,84
P063,val,85
P064,train,200
P065,train,200
P066,train,221
P067,train,207
P068,train,160
P069,train,97
P070,train,99
P071,val,146
P072,train,100
P073,train,145
P074,train,209
P075,train,160
P076,val,126
P077,train,154
P078,train,105
P079,train,107
P080,train,89
P081,train,95
P082,train,99
P083,val,130
P084,train,122
P085,test,81
P086,train,61
P087,train,125
P088,train,79
P089,test,98
P090,val,125
P091,train,118
P092,train,124
P093,train,79
P094,train,143
P095,test,100
P096,train,204
P097,test,73
P098,train,108
P099,train,109
P100,train,130
P101,val,147
P102,train,137
P103,train,92
P104,val,176
P105,train,115
P106,val,182
P107,train,153
P108,test,109
P109,test,144
