model,patient_id,transition_index,tc_method1_raw,tc_method2_flow_warped,current_empty,previous_empty
standard,P000,1,0.830319,0.921619,0,0
standard,P000,2,0.743134,0.931929,0,0
standard,P000,3,0.73127,0.937143,0,0
standard,P000,4,0.95315,0.95315,0,0
standard,P000,5,0.979938,0.979938,0,0
standard,P000,6,0.998469,0.998469,0,0
standard,P000,7,0.85798,0.95389,0,0
standard,P000,8,0.923414,0.929598,0,0
standard,P000,9,0.925697,0.936335,0,0
standard,P000,10,0.950433,0.952904,0,0
standard,P000,11,0.963481,0.963481,0,0
standard,P000,12,0.901149,0.948342,0,0
standard,P000,13,0.828402,0.926036,0,0
standard,P000,14,0.966859,0.966859,0,0
standard,P000,15,0.904727,0.965818,0,0
standard,P000,16,0.982327,0.982327,0,0
standard,P000,17,0.968998,0.968998,0,0
standard,P000,18,0.983217,0.947222,0,0
standard,P000,19,0.947969,0.948424,0,0
standard,P000,20,0.915751,0.940659,0,0
standard,P000,21,0.999265,0.999265,0,0
standard,P000,22,0.800892,0.921331,0,0
standard,P000,23,0.812772,0.954839,0,0
standard,P000,24,0.971751,0.971751,0,0
standard,P000,25,0.81438,0.928833,0,0
standard,P000,26,0.957065,0.961569,0,0
standard,P000,27,0.766123,0.911742,0,0
standard,P000,28,0.90229,0.969466,0,0
standard,P000,29,0.971081,0.971081,0,0
standard,P000,30,0.997756,0.997756,0,0
standard,P000,31,0.987189,0.987189,0,0
standard,P000,32,0.932627,0.949573,0,0
standard,P000,33,0.975904,0.972243,0,0
standard,P000,34,0.971595,0.971595,0,0
standard,P000,35,0.967338,0.967338,0,0
standard,P000,36,0.935223,0.946441,0,0
standard,P000,37,0.968043,0.936877,0,0
standard,P000,38,0.969496,0.969496,0,0
standard,P000,39,0.963723,0.963723,0,0
standard,P000,40,0.964312,0.964312,0,0
standard,P000,41,0.976814,0.976814,0,0
standard,P000,42,0.930054,0.960125,0,0
standard,P000,43,0.938808,0.961353,0,0
standard,P000,44,0.961538,0.961538,0,0
standard,P000,45,1.0,1.0,0,0
standard,P000,46,0.971771,0.960767,0,0
standard,P000,47,0.989726,0.989726,0,0
standard,P000,48,0.992327,0.992327,0,0
standard,P000,49,0.970332,0.970332,0,0
standard,P000,50,0.974314,0.974314,0,0
standard,P000,51,0.929329,0.944785,0,0
standard,P000,52,0.984671,0.984671,0,0
standard,P000,53,0.97493,0.97493,0,0
standard,P000,54,0.999054,0.999054,0,0
standard,P000,55,0.775549,0.882865,0,0
standard,P000,56,0.911708,0.974952,0,0
standard,P000,57,0.965009,0.965009,0,0
standard,P000,58,0.953594,0.939035,0,0
standard,P000,59,0.827081,0.869565,0,0
standard,P000,60,0.96223,0.957312,0,0
standard,P000,61,0.734619,0.911765,0,0
standard,P000,62,0.755712,0.894552,0,0
standard,P000,63,0.772414,0.935986,0,0
standard,P000,64,0.906667,0.918295,0,0
standard,P000,65,0.750422,0.905912,0,0
standard,P000,66,0.940429,0.952978,0,0
standard,P000,67,0.953653,0.941905,0,0
standard,P000,68,0.965143,0.96834,0,0
standard,P000,69,0.999244,0.999244,0,0
standard,P000,70,0.743376,0.934251,0,0
standard,P000,71,0.922737,0.918681,0,0
standard,P000,72,0.925479,0.963804,0,0
standard,P000,73,0.943182,0.943182,0,0
standard,P000,74,0.96788,0.96788,0,0
standard,P000,75,0.747222,0.973937,0,0
standard,P000,76,0.979181,0.979181,0,0
standard,P000,77,1.0,1.0,0,0
standard,P000,78,0.974934,0.96918,0,0
standard,P000,79,0.96927,0.976538,0,0
standard,P000,80,0.922118,0.975701,0,0
standard,P000,81,0.972873,0.972873,0,0
standard,P000,82,0.738155,0.937775,0,0
standard,P000,83,0.997472,0.997472,0,0
standard,P000,84,0.71995,0.958231,0,0
standard,P000,85,0.743352,0.946517,0,0
standard,P000,86,0.711947,0.949519,0,0
standard,P000,87,0.99474,0.99474,0,0
standard,P000,88,0.976608,0.961628,0,0
standard,P000,89,0.975953,0.973669,0,0
standard,P000,90,0.759929,0.957913,0,0
standard,P000,91,0.7623,0.956522,0,0
standard,P000,92,1.0,1.0,0,0
standard,P000,93,0.781582,0.961424,0,0
standard,P000,94,0.984688,0.984688,0,0
standard,P000,95,0.970623,0.982891,0,0
standard,P000,96,0.966667,0.960796,0,0
standard,P000,97,0.966143,0.965018,0,0
standard,P000,98,0.99939,0.99939,0,0
standard,P000,99,0.947433,0.941672,0,0
standard,P000,100,0.964933,0.960097,0,0
standard,P000,101,0.999402,0.999402,0,0
standard,P000,102,0.972845,0.971126,0,0
standard,P000,103,0.967779,0.970081,0,0
standard,P000,104,0.79477,0.957014,0,0
standard,P000,105,0.874859,0.97407,0,0
standard,P000,106,0.982993,0.982993,0,0
standard,P000,107,1.0,1.0,0,0
standard,P000,108,0.896352,0.974419,0,0
standard,P000,109,0.984919,0.985507,0,0
standard,P000,110,0.990145,0.990145,0,0
standard,P000,111,0.988493,0.988493,0,0
standard,P000,112,0.986175,0.986175,0,0
standard,P000,113,0.776498,0.951512,0,0
standard,P000,114,0.980147,0.980282,0,0
standard,P000,115,0.849425,0.961428,0,0
standard,P000,116,0.998245,0.998245,0,0
standard,P000,117,0.947429,0.980936,0,0
standard,P000,118,0.939271,0.973973,0,0
standard,P000,119,0.988235,0.988235,0,0
standard,P000,120,0.830362,0.972973,0,0
standard,P000,121,0.987737,0.987737,0,0
standard,P000,122,0.969797,0.962389,0,0
standard,P000,123,0.947255,0.945079,0,0
standard,P000,124,0.963725,0.968026,0,0
standard,P000,125,0.999448,0.999448,0,0
standard,P000,126,0.792113,0.961472,0,0
standard,P000,127,0.950088,0.947935,0,0
standard,P000,128,0.926554,0.910714,0,0
standard,P000,129,0.847107,0.898129,0,0
standard,P000,130,0.92562,0.955133,0,0
standard,P000,131,0.9456,0.960516,0,0
standard,P000,132,0.999182,0.999182,0,0
standard,P000,133,0.935961,0.938373,0,0
standard,P000,134,0.678333,0.931667,0,0
standard,P000,135,0.97054,0.947627,0,0
standard,P000,136,0.986561,0.986561,0,0
standard,P000,137,0.713846,0.938744,0,0
standard,P000,138,0.964313,0.964313,0,0
standard,P000,139,0.748068,0.948617,0,0
standard,P000,140,0.794414,0.932506,0,0
standard,P000,141,0.996918,0.996918,0,0
standard,P000,142,0.804399,0.978554,0,0
standard,P000,143,0.788536,0.955108,0,0
standard,P000,144,0.978342,0.978342,0,0
standard,P000,145,0.988897,0.988897,0,0
standard,P000,146,0.988848,0.988848,0,0
standard,P001,1,0.967725,0.972621,0,0
standard,P001,2,0.970421,0.983356,0,0
standard,P001,3,0.967191,0.982781,0,0
standard,P001,4,0.977243,0.977243,0,0
standard,P001,5,0.98937,0.98937,0,0
standard,P001,6,0.971474,0.971474,0,0
standard,P001,7,0.93847,0.968404,0,0
standard,P001,8,0.97847,0.975221,0,0
standard,P001,9,0.915105,0.943056,0,0
standard,P001,10,0.886515,0.92348,0,0
standard,P001,11,0.976934,0.976934,0,0
standard,P001,12,0.971639,0.971639,0,0
standard,P001,13,0.934177,0.961519,0,0
standard,P001,14,0.976956,0.976956,0,0
standard,P001,15,0.924883,0.975571,0,0
standard,P001,16,0.936032,0.938806,0,0
standard,P001,17,0.967073,0.960569,0,0
standard,P001,18,0.973083,0.973083,0,0
standard,P001,19,0.968568,0.969923,0,0
standard,P001,20,0.947781,0.947907,0,0
standard,P001,21,0.975707,0.96646,0,0
standard,P001,22,0.965534,0.966973,0,0
standard,P001,23,0.949,0.960705,0,0
standard,P001,24,0.922282,0.951452,0,0
standard,P001,25,0.977118,0.976608,0,0
standard,P001,26,0.893732,0.894326,0,0
standard,P001,27,0.979774,0.979774,0,0
standard,P001,28,0.972668,0.983986,0,0
standard,P001,29,0.975811,0.977986,0,0
standard,P001,30,0.986342,0.986342,0,0
standard,P001,31,0.973825,0.971952,0,0
standard,P001,32,0.981432,0.979327,0,0
standard,P001,33,0.985618,0.979568,0,0
standard,P001,34,0.981443,0.988876,0,0
standard,P001,35,0.977659,0.979604,0,0
standard,P001,36,0.983183,0.98713,0,0
standard,P001,37,0.948527,0.979941,0,0
standard,P001,38,0.987902,0.985866,0,0
standard,P001,39,0.994684,0.994684,0,0
standard,P001,40,0.973436,0.97584,0,0
standard,P001,41,0.975783,0.981,0,0
standard,P001,42,0.980024,0.983483,0,0
standard,P001,43,0.977896,0.984164,0,0
standard,P001,44,0.987507,0.983577,0,0
standard,P001,45,0.98863,0.98863,0,0
standard,P001,46,0.985219,0.985129,0,0
standard,P001,47,0.985192,0.982958,0,0
standard,P001,48,0.976077,0.972433,0,0
standard,P001,49,0.968378,0.963792,0,0
standard,P001,50,0.949861,0.964646,0,0
standard,P001,51,0.943166,0.972222,0,0
standard,P001,52,0.945977,0.979994,0,0
standard,P001,53,0.967453,0.975712,0,0
standard,P001,54,0.955801,0.985552,0,0
standard,P001,55,0.978565,0.984462,0,0
standard,P001,56,0.968917,0.990831,0,0
standard,P001,57,0.981899,0.977143,0,0
standard,P001,58,0.978436,0.979418,0,0
standard,P001,59,0.973026,0.97644,0,0
standard,P001,60,0.962455,0.97679,0,0
standard,P001,61,0.989404,0.977926,0,0
standard,P001,62,0.983395,0.983395,0,0
standard,P001,63,0.965092,0.984942,0,0
standard,P001,64,0.979074,0.979287,0,0
standard,P001,65,0.982057,0.982019,0,0
standard,P001,66,0.994483,0.994483,0,0
standard,P001,67,0.976231,0.987944,0,0
standard,P001,68,0.99414,0.99414,0,0
standard,P001,69,0.973611,0.987877,0,0
standard,P001,70,0.919775,0.985096,0,0
standard,P001,71,0.965957,0.983848,0,0
standard,P001,72,0.990078,0.990078,0,0
standard,P001,73,0.978693,0.982357,0,0
standard,P001,74,0.990721,0.990721,0,0
standard,P001,75,0.97554,0.97554,0,0
standard,P001,76,0.968093,0.986222,0,0
standard,P001,77,0.983571,0.983002,0,0
standard,P001,78,0.987061,0.987061,0,0
standard,P001,79,0.991383,0.991383,0,0
standard,P001,80,0.973933,0.987533,0,0
standard,P001,81,0.954036,0.985145,0,0
standard,P001,82,0.910518,0.981381,0,0
standard,P001,83,0.917787,0.982329,0,0
standard,P001,84,0.963262,0.974566,0,0
standard,P001,85,0.985531,0.985531,0,0
standard,P001,86,0.915481,0.973466,0,0
standard,P001,87,0.92486,0.97913,0,0
standard,P001,88,0.98613,0.98613,0,0
standard,P001,89,0.970776,0.978082,0,0
standard,P001,90,0.974146,0.985144,0,0
standard,P001,91,0.969159,0.980374,0,0
standard,P001,92,0.971811,0.9613,0,0
standard,P001,93,0.96892,0.9778,0,0
standard,P001,94,0.981726,0.979928,0,0
standard,P001,95,0.981949,0.981443,0,0
standard,P001,96,0.977273,0.978283,0,0
standard,P001,97,0.968107,0.978328,0,0
standard,P001,98,0.961578,0.983846,0,0
standard,P001,99,0.978341,0.977801,0,0
standard,P001,100,0.954382,0.947207,0,0
