session_dir,subject,source,split,note
# 2026-09-09 C10UR Wi-Fi 손 수집, 팬텀 1 개 (subject 열 P01 = 팬텀 A). 팬텀이 하나라 세션 단위로 split. 앞 6 세션은 연속 이동 규약.
# session_dir 은 이 파일 기준 상대경로. 다른 PC 에서는 경로만 바꾼다.
../../imu_bench/logs/us_imu_20260909_153452,P01,freehand,train,day1 continuous-motion protocol
../../imu_bench/logs/us_imu_20260909_160656,P01,freehand,train,day1 continuous-motion protocol
../../imu_bench/logs/us_imu_20260909_160858,P01,freehand,train,day1 continuous-motion protocol
../../imu_bench/logs/us_imu_20260909_161109,P01,freehand,train,day1 continuous-motion protocol
../../imu_bench/logs/us_imu_20260909_161317,P01,freehand,train,day1 continuous-motion protocol
../../imu_bench/logs/us_imu_20260909_161540,P01,freehand,train,day1 continuous-motion protocol
../../imu_bench/logs/us_imu_20260909_163123,P01,freehand,train,day1
../../imu_bench/logs/us_imu_20260909_163323,P01,freehand,train,day1
../../imu_bench/logs/us_imu_20260909_163511,P01,freehand,train,day1
../../imu_bench/logs/us_imu_20260909_164324,P01,freehand,train,day1
../../imu_bench/logs/us_imu_20260909_164526,P01,freehand,val,day1
../../imu_bench/logs/us_imu_20260909_164740,P01,freehand,test,day1
../../imu_bench/logs/us_imu_20260909_164936,P01,freehand,train,day1
../../imu_bench/logs/us_imu_20260909_165248,P01,freehand,val,day1
../../imu_bench/logs/us_imu_20260909_165434,P01,freehand,test,day1
../../imu_bench/logs/us_imu_20260909_181041,P01,freehand,train,day1 evening
../../imu_bench/logs/us_imu_20260909_181310,P01,freehand,train,day1 evening
../../imu_bench/logs/us_imu_20260909_181532,P01,freehand,val,day1 evening
../../imu_bench/logs/us_imu_20260909_181722,P01,freehand,train,day1 evening
../../imu_bench/logs/us_imu_20260909_182055,P01,freehand,train,day1 evening
../../imu_bench/logs/us_imu_20260909_182305,P01,freehand,test,day1 evening (673 frames, stopped early)
